Year,Quarter,Total,"Under $150,000","$150,000 to $199,999","Under $200,000","$200,000 to $299,999","$300,000 to $499,999","$500,000 and over","$500,000 to $749,999","$750,000 and over",Region
2008,Q1,78,18,19,NA,24,11,5,NA,NA,South
2008,Q1,18,3,5,NA,6,3,1,NA,NA,Midwest
2008,Q2,10,NA,NA,1,3,3,NA,1,2,Northeast
2008,Q2,33,NA,NA,4,12,11,NA,4,2,West
2008,Q2,78,17,19,NA,22,14,6,NA,NA,South
2008,Q2,22,4,7,NA,7,3,1,NA,NA,Midwest
2008,Q3,8,NA,NA,0,2,3,NA,1,1,Northeast
2008,Q3,27,NA,NA,5,9,9,NA,3,1,West
2008,Q3,65,15,16,NA,18,12,4,NA,NA,South
2008,Q3,17,5,5,NA,5,2,1,NA,NA,Midwest
2008,Q4,8,NA,NA,1,3,3,NA,1,1,Northeast
2008,Q4,18,NA,NA,3,7,6,NA,2,1,West
2008,Q4,46,11,14,NA,13,6,2,NA,NA,South
2008,Q4,13,3,3,NA,4,2,1,NA,NA,Midwest
2009,Q1,6,NA,NA,1,2,1,NA,1,0,Northeast
2009,Q1,18,NA,NA,4,8,5,NA,1,1,West
2009,Q1,48,12,14,NA,13,7,2,NA,NA,South
2009,Q1,11,3,4,NA,3,1,0,NA,NA,Midwest
2009,Q2,8,NA,NA,2,3,2,NA,1,1,Northeast
2009,Q2,26,NA,NA,6,8,8,NA,2,1,West
2009,Q2,56,11,16,NA,16,9,3,NA,NA,South
2009,Q2,14,3,4,NA,4,2,0,NA,NA,Midwest
2009,Q3,10,NA,NA,2,2,3,NA,2,1,Northeast
2009,Q3,26,NA,NA,6,10,6,NA,2,1,West
2009,Q3,53,13,16,NA,13,7,3,NA,NA,South
2009,Q3,15,4,5,NA,4,2,1,NA,NA,Midwest
2009,Q4,8,NA,NA,1,3,3,NA,1,1,Northeast
2009,Q4,18,NA,NA,4,7,4,NA,1,1,West
2009,Q4,45,12,12,NA,13,6,2,NA,NA,South
2009,Q4,13,3,4,NA,4,2,1,NA,NA,Midwest
2010,Q1,8,NA,NA,1,2,3,NA,1,1,Northeast
2010,Q1,22,NA,NA,5,8,6,NA,2,1,West
2010,Q1,45,13,12,NA,12,6,2,NA,NA,South
2010,Q1,12,3,3,NA,4,1,0,NA,NA,Midwest
2010,Q2,9,NA,NA,2,2,4,NA,1,1,Northeast
2010,Q2,21,NA,NA,5,8,6,NA,2,1,West
2010,Q2,51,12,15,NA,15,8,2,NA,NA,South
2010,Q2,14,3,4,NA,4,2,0,NA,NA,Midwest
2010,Q3,8,NA,NA,1,3,2,NA,1,1,Northeast
2010,Q3,15,NA,NA,4,7,3,NA,1,0,West
2010,Q3,41,8,12,NA,12,7,2,NA,NA,South
2010,Q3,11,2,4,NA,4,1,0,NA,NA,Midwest
2010,Q4,6,NA,NA,1,2,2,NA,1,0,Northeast
2010,Q4,15,NA,NA,4,6,4,NA,1,0,West
2010,Q4,37,9,10,NA,8,8,3,NA,NA,South
2010,Q4,8,2,2,NA,3,1,1,NA,NA,Midwest
2011,Q1,6,NA,NA,0,2,3,NA,1,0,Northeast
2011,Q1,17,NA,NA,4,8,4,NA,1,0,West
2011,Q1,40,9,10,NA,11,8,3,NA,NA,South
2011,Q1,8,2,2,NA,2,1,0,NA,NA,Midwest
2011,Q2,6,NA,NA,1,2,2,NA,1,0,Northeast
2011,Q2,22,NA,NA,4,9,6,NA,1,1,West
2011,Q2,47,10,12,NA,14,9,2,NA,NA,South
2011,Q2,12,2,4,NA,4,2,1,NA,NA,Midwest
2011,Q3,6,NA,NA,1,2,2,NA,1,0,Northeast
2011,Q3,16,NA,NA,4,6,5,NA,1,1,West
2011,Q3,41,9,9,NA,13,7,2,NA,NA,South
2011,Q3,12,3,4,NA,4,2,0,NA,NA,Midwest
2011,Q4,4,NA,NA,0,1,1,NA,0,0,Northeast
2011,Q4,17,NA,NA,4,7,4,NA,1,0,West
2011,Q4,39,9,10,NA,11,6,2,NA,NA,South
2011,Q4,12,3,3,NA,3,2,1,NA,NA,Midwest
2012,Q1,7,NA,NA,1,2,2,NA,1,0,Northeast
2012,Q1,21,NA,NA,3,10,6,NA,1,1,West
2012,Q1,50,10,12,NA,15,11,2,NA,NA,South
2012,Q1,10,2,2,NA,4,2,1,NA,NA,Midwest
2012,Q2,8,NA,NA,1,2,3,NA,1,1,Northeast
2012,Q2,30,NA,NA,6,13,8,NA,2,1,West
2012,Q2,51,11,13,NA,14,11,3,NA,NA,South
2012,Q2,14,2,3,NA,5,3,1,NA,NA,Midwest
2012,Q3,9,NA,NA,1,2,4,NA,1,1,Northeast
2012,Q3,26,NA,NA,5,11,7,NA,2,1,West
2012,Q3,47,8,11,NA,13,12,3,NA,NA,South
2012,Q3,13,1,3,NA,4,3,1,NA,NA,Midwest
2012,Q4,6,NA,NA,1,1,2,NA,1,1,Northeast
2012,Q4,21,NA,NA,4,8,7,NA,2,1,West
2012,Q4,47,7,10,NA,14,12,3,NA,NA,South
2012,Q4,11,2,3,NA,4,2,1,NA,NA,Midwest
2013,Q1,8,NA,NA,1,2,3,NA,1,1,Northeast
2013,Q1,32,NA,NA,4,12,11,NA,3,1,West
2013,Q1,56,9,12,NA,18,12,4,NA,NA,South
2013,Q1,14,2,3,NA,6,2,1,NA,NA,Midwest
2013,Q2,9,NA,NA,1,2,3,NA,2,1,Northeast
2013,Q2,31,NA,NA,4,11,12,NA,3,1,West
2013,Q2,69,7,14,NA,24,18,6,NA,NA,South
2013,Q2,18,1,3,NA,7,6,1,NA,NA,Midwest
2013,Q3,8,NA,NA,1,3,2,NA,1,1,Northeast
2013,Q3,22,NA,NA,3,7,9,NA,2,1,West
2013,Q3,50,7,12,NA,15,12,5,NA,NA,South
2013,Q3,15,1,4,NA,5,3,2,NA,NA,Midwest
2013,Q4,6,NA,NA,1,1,2,NA,1,1,Northeast
2013,Q4,21,NA,NA,1,7,8,NA,2,2,West
2013,Q4,58,5,15,NA,18,15,5,NA,NA,South
2013,Q4,14,1,3,NA,5,3,2,NA,NA,Midwest
2014,Q1,6,NA,NA,1,2,2,NA,1,1,Northeast
2014,Q1,25,NA,NA,2,8,10,NA,2,2,West
2014,Q1,63,5,14,NA,20,18,5,NA,NA,South
2014,Q1,12,1,2,NA,4,4,1,NA,NA,Midwest
2014,Q2,8,NA,NA,1,2,2,NA,1,1,Northeast
2014,Q2,30,NA,NA,2,9,13,NA,4,2,West
2014,Q2,63,5,13,NA,19,19,7,NA,NA,South
2014,Q2,19,2,4,NA,6,5,2,NA,NA,Midwest
2014,Q3,7,NA,NA,0,1,2,NA,2,2,Northeast
2014,Q3,27,NA,NA,3,9,11,NA,3,2,West
2014,Q3,58,6,13,NA,19,16,5,NA,NA,South
2014,Q3,14,1,2,NA,5,4,1,NA,NA,Midwest
2014,Q4,6,NA,NA,0,2,2,NA,1,1,Northeast
2014,Q4,26,NA,NA,2,7,11,NA,3,2,West
2014,Q4,58,4,11,NA,19,17,8,NA,NA,South
2014,Q4,13,1,2,NA,4,4,1,NA,NA,Midwest
2015,Q1,5,NA,NA,0,1,2,NA,1,1,Northeast
2015,Q1,36,NA,NA,2,11,15,NA,5,2,West
2015,Q1,77,4,15,NA,29,21,8,NA,NA,South
2015,Q1,13,1,3,NA,4,4,1,NA,NA,Midwest
2015,Q2,6,NA,NA,0,1,3,NA,1,1,Northeast
2015,Q2,37,NA,NA,3,11,17,NA,5,1,West
2015,Q2,78,4,17,NA,27,21,8,NA,NA,South
2015,Q2,18,1,3,NA,7,5,2,NA,NA,Midwest
2015,Q3,7,NA,NA,1,2,3,NA,1,1,Northeast
2015,Q3,29,NA,NA,2,9,12,NA,4,2,West
2015,Q3,68,5,13,NA,21,22,7,NA,NA,South
2015,Q3,15,1,3,NA,5,6,1,NA,NA,Midwest
2015,Q4,7,NA,NA,0,1,2,NA,1,2,Northeast
2015,Q4,28,NA,NA,2,8,12,NA,5,2,West
2015,Q4,63,4,9,NA,23,20,7,NA,NA,South
2015,Q4,14,0,2,NA,5,5,1,NA,NA,Midwest
2016,Q1,7,NA,NA,0,1,3,NA,2,1,Northeast
2016,Q1,35,NA,NA,1,11,15,NA,5,2,West
2016,Q1,77,5,13,NA,26,24,9,NA,NA,South
2016,Q1,14,1,3,NA,5,5,1,NA,NA,Midwest
2016,Q2,9,NA,NA,0,2,3,NA,3,2,Northeast
2016,Q2,41,NA,NA,1,10,20,NA,7,3,West
2016,Q2,88,4,18,NA,28,29,9,NA,NA,South
2016,Q2,21,1,4,NA,8,7,1,NA,NA,Midwest
2016,Q3,8,NA,NA,1,1,3,NA,1,2,Northeast
2016,Q3,34,NA,NA,2,9,15,NA,5,3,West
